epoch,train_loss,val_loss
1,0.460953,0.467961
2,0.435790,0.447264
3,0.423058,0.431184
4,0.403446,0.415828
5,0.395137,0.400350
6,0.379609,0.390921
7,0.366193,0.380678
8,0.355564,0.369097
9,0.346615,0.356223
10,0.330603,0.341893
11,0.322078,0.325791
12,0.306055,0.305262
13,0.283929,0.282359
14,0.258525,0.256935
15,0.252871,0.228963
16,0.224719,0.198624
17,0.181157,0.165817
18,0.177210,0.131691
19,0.118055,0.098070
20,0.109648,0.066936
21,0.068152,0.040324
22,0.036197,0.020133
23,0.031966,0.007000
24,0.009620,0.000862
25,0.015969,0.000389
26,0.011093,0.003413
27,0.024160,0.007135
28,0.021624,0.009992
29,0.031060,0.010738
30,0.036170,0.009737
