epoch,train_loss,val_loss
1,0.711967,0.641860
2,0.599163,0.559988
3,0.543940,0.493534
4,0.472221,0.437963
5,0.429089,0.386642
6,0.375434,0.349701
7,0.329978,0.317263
8,0.295832,0.283554
9,0.257825,0.249054
10,0.230699,0.214410
11,0.209111,0.180232
12,0.174472,0.146915
13,0.150975,0.116336
14,0.124778,0.088997
15,0.099444,0.063892
16,0.090453,0.041937
17,0.062661,0.023913
18,0.035991,0.010615
19,0.023133,0.002663
20,0.015619,0.000008
21,0.010628,0.001852
22,0.028425,0.006641
23,0.026609,0.012684
24,0.018593,0.018957
25,0.025422,0.023692
