epoch,train_loss,val_loss
1,0.735157,0.747744
2,0.711566,0.720533
3,0.677334,0.694114
4,0.664903,0.667850
5,0.634886,0.641174
6,0.608471,0.616057
7,0.589532,0.594036
8,0.560657,0.571836
9,0.545392,0.547913
10,0.511108,0.520368
11,0.489399,0.489301
12,0.452967,0.458379
13,0.431325,0.427321
14,0.403417,0.390365
15,0.382546,0.348828
16,0.317058,0.303046
17,0.280133,0.254044
18,0.247108,0.206768
19,0.216653,0.160421
20,0.144044,0.116889
21,0.117832,0.078148
22,0.092346,0.046495
23,0.050475,0.022979
24,0.032059,0.007854
25,0.013304,0.000824
26,0.012362,0.000685
27,0.014232,0.005235
28,0.020856,0.011864
29,0.048690,0.016608
30,0.034702,0.019443
31,0.039592,0.019531
